start_station_name,end_station_name,member_casual,date,avg_temp,value,month,day_of_week,season
Broadway & E 14 St,1 Ave & E 62 St,casual,2022-01-01,11.6,1,1,Saturday,winter
S 4 St & Wythe Ave,Kent Ave & S 11 St,member,2022-01-01,11.6,1,1,Saturday,winter
5 Ave & E 78 St,W 46 St & 11 Ave,casual,2022-01-01,11.6,1,1,Saturday,winter
Myrtle Ave & St Edwards St,Bergen St & 4 Ave,member,2022-01-01,11.6,1,1,Saturday,winter
Broadway & Berry St,Hope St & Union Ave,casual,2022-01-01,11.6,1,1,Saturday,winter
Schermerhorn St & Court St,Washington Ave & Greene Ave,member,2022-01-01,11.6,1,1,Saturday,winter
Riverside Blvd & W 67 St,Riverside Dr & W 82 St,member,2022-01-01,11.6,1,1,Saturday,winter
W 47 St & 10 Ave,E 81 St & 2 Ave,member,2022-01-01,11.6,1,1,Saturday,winter
Carlton Ave & Park Ave,Division St & Bowery,member,2022-01-01,11.6,1,1,Saturday,winter
Lafayette Ave & Ft Greene Pl,Fulton St & Clermont Ave,member,2022-01-01,11.6,1,1,Saturday,winter
Central Park W & W 103 St,E 106 St & Madison Ave,member,2022-01-01,11.6,1,1,Saturday,winter
Washington St & Barrow St,Washington St & Barrow St,member,2022-01-01,11.6,1,1,Saturday,winter
Union Ave & N 12 St,Metropolitan Ave & Bedford Ave,member,2022-01-01,11.6,1,1,Saturday,winter
Grand Army Plaza & Central Park S,E 58 St & 3 Ave,casual,2022-01-01,11.6,1,1,Saturday,winter
5 Ave & E 78 St,Central Park W & W 91 St,casual,2022-01-01,11.6,1,1,Saturday,winter
E 75 St & 3 Ave,Lafayette St & E 8 St,member,2022-01-01,11.6,1,1,Saturday,winter
W 84 St & Columbus Ave,W 87 St & Amsterdam Ave,casual,2022-01-01,11.6,1,1,Saturday,winter
Henry St & Grand St,E 23 St & 1 Ave,member,2022-01-01,11.6,1,1,Saturday,winter
W 70 St & Amsterdam Ave,Central Park West & W 72 St,member,2022-01-01,11.6,1,1,Saturday,winter
Underhill Ave & Lincoln Pl,4 Ave & 17 St,member,2022-01-01,11.6,1,1,Saturday,winter
46 St & 25 Ave,21 St & 23 Ave,member,2022-01-01,11.6,1,1,Saturday,winter
Division Ave & Hooper St,N 6 St & Bedford Ave,casual,2022-01-01,11.6,1,1,Saturday,winter
W 106 St & Amsterdam Ave,E 58 St & 3 Ave,member,2022-01-01,11.6,1,1,Saturday,winter
South St & Whitehall St,Canal St & Rutgers St,casual,2022-01-01,11.6,1,1,Saturday,winter
St Marks Pl & 2 Ave,Hicks St & Montague St,member,2022-01-01,11.6,1,1,Saturday,winter
Cadman Plaza E & Red Cross Pl,Hicks St & Montague St,casual,2022-01-01,11.6,1,1,Saturday,winter
5 Ave & E 87 St,5 Ave & E 72 St,casual,2022-01-01,11.6,1,1,Saturday,winter
Emerson Pl & Myrtle Ave,Bushwick Ave & Dekalb Ave,casual,2022-01-01,11.6,1,1,Saturday,winter
E 93 St & 2 Ave,2 Ave & E 122 St,casual,2022-01-01,11.6,1,1,Saturday,winter
Central Park W & W 103 St,Central Park North & Adam Clayton Powell Blvd,casual,2022-01-01,11.6,1,1,Saturday,winter
St James Pl & Oliver St,E 25 St & 1 Ave,member,2022-01-01,11.6,1,1,Saturday,winter
E 118 St & Madison Ave,Central Park North & Adam Clayton Powell Blvd,member,2022-01-01,11.6,1,1,Saturday,winter
6 Ave & W 34 St,Lafayette St & E 8 St,casual,2022-01-01,11.6,1,1,Saturday,winter
Roebling St & N 4 St,Metropolitan Ave & Bedford Ave,member,2022-01-01,11.6,1,1,Saturday,winter
5 Ave & E 87 St,Central Park West & W 72 St,casual,2022-01-01,11.6,1,1,Saturday,winter
6 Ave & W 33 St,E 56 St & 3 Ave,member,2022-01-01,11.6,1,1,Saturday,winter
W 50 St & 9 Ave,E 56 St & 3 Ave,member,2022-01-01,11.6,1,1,Saturday,winter
Henry St & Degraw St,Atlantic Ave & Furman St,member,2022-01-01,11.6,1,1,Saturday,winter
Lexington Ave & E 29 St,E 116 St & 2 Ave,member,2022-01-01,11.6,1,1,Saturday,winter
E 106 St & Madison Ave,E 106 St & Madison Ave,casual,2022-01-01,11.6,1,1,Saturday,winter
4 Ave & 17 St,4 Ave & 17 St,casual,2022-01-01,11.6,1,1,Saturday,winter
8 Ave & W 52 St,Mercer St & Bleecker St,member,2022-01-01,11.6,1,1,Saturday,winter
W 26 St & 8 Ave,W 13 St & 5 Ave,casual,2022-01-01,11.6,1,1,Saturday,winter
